Client
Apple
Alphabet
Microsoft
Dell Technologies
Facebook
Intel
International Business Machines
HP
Cisco Systems
Oracle
Thermo Fisher Scientific
Jabil
Hewlett Packard Enterprise
Broadcom
Qualcomm
Micron Technology
Salesforce
DXC Technology
CDW
Applied Materials
Western Digital
Nvidia
Cognizant Technology Solutions
Texas Instruments
Adobe
Leidos Holdings
eBay
Uber Technologies
Lam Research
Advanced Micro Devices
Amphenol
CommScope Holding
Insight Enterprises
Intuit
Booz Allen Hamilton Holding
Motorola Solutions
Science Applications International
Xerox Holdings
Sanmina
Booking Holdings
Avantor
NCR
KLA
CACI International
Analog Devices
Roper Technologies
NetApp
Agilent Technologies
Microchip Technology
ON Semiconductor
Amkor Technology
SS&C Technologies Holdings
Ametek
ServiceNow
Perspecta
Juniper Networks
Workday
Keysight Technologies
Gartner
Diebold Nixdorf
NortonLifeLock
Autodesk
PerkinElmer
Twitter
Synopsys
Pitney Bowes
Ciena
Maximus
Palo Alto Networks
Plexus
Airbnb
Skyworks Solutions
Zillow Group
Super Micro Computer
GoDaddy
Qorvo
Illumina
Citrix Systems
Akamai Technologies
PRA Health Sciences
Xilinx
Trimble
Teradyne
IAC/InterActiveCorp
McAfee
DoorDash
Avaya Holdings
Rackspace Technology
Vontier
Cadence Design Systems
EPAM Systems
Zoom Video Communications
Fortinet
Opendoor Technologies
ContextLogic
ManTech International
Snap
Vishay Intertechnology
Apple
Alphabet
Microsoft
Dell Technologies
Facebook
Intel
International Business Machines
HP
Cisco Systems
Oracle
Thermo Fisher Scientific
Jabil
Hewlett Packard Enterprise
Broadcom
Qualcomm
Micron Technology
Salesforce
DXC Technology
CDW
Applied Materials
Western Digital
Nvidia
Cognizant Technology Solutions
Texas Instruments
Adobe
Leidos Holdings
eBay
Uber Technologies
Lam Research
Advanced Micro Devices
Amphenol
CommScope Holding
Insight Enterprises
Intuit
Booz Allen Hamilton Holding
Motorola Solutions
Science Applications International
Xerox Holdings
Sanmina
Booking Holdings
Avantor
NCR
KLA
CACI International
Analog Devices
Roper Technologies
NetApp
Agilent Technologies
Microchip Technology
ON Semiconductor
Amkor Technology
SS&C Technologies Holdings
Ametek
ServiceNow
Perspecta
Juniper Networks
Workday
Keysight Technologies
Gartner
Diebold Nixdorf
NortonLifeLock
Autodesk
PerkinElmer
Twitter
Synopsys
Pitney Bowes
Ciena
Maximus
Palo Alto Networks
Plexus
Airbnb
Skyworks Solutions
Zillow Group
Super Micro Computer
GoDaddy
Qorvo
Illumina
Citrix Systems
Akamai Technologies
PRA Health Sciences
Xilinx
Trimble
Teradyne
IAC/InterActiveCorp
McAfee
DoorDash
Avaya Holdings
Rackspace Technology
Vontier
Cadence Design Systems
EPAM Systems
Zoom Video Communications
Fortinet
Opendoor Technologies
ContextLogic
ManTech International
Snap
Vishay Intertechnology
